run_idx,solvent,reaction_time,Photocatalyst,yield
0,MeCN,12,E,0.923834991
0,PhMe,1,A,0.882956546
0,THF,18,G,0.545529231
0,THF,3,C,0.450304371
0,HFIP,24,B,0.738330554
0,PhMe,3,F,0.090782089
0,EtOAc,12,D,0.070554674
0,MeCN,2,H,0.624254244
0,MeCN,18,D,0.016411304
0,EtOAc,2,H,0.811945876
0,PhMe,5,B,0.612496813
0,HFIP,1,F,0.509011173
0,THF,18,G,0.252411955
0,THF,2,C,0.083992718
0,EtOAc,24,E,0.196525194
0,HFIP,5,A,0.385174831
0,HFIP,24,H,0.294107552
0,EtOAc,5,D,0.853192301
0,THF,18,F,0.208126997
0,HFIP,2,B,0.501931167
